{'site': 1, 'rows': 186694, 'leads': [0, 3, 15, 95], 'start': '2014-07-19 18:30:00+00:00', 'end': '2017-10-21 23:45:00+00:00'}
{'site': 35, 'rows': 216843, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-04 23:45:00+00:00'}
{'site': 36, 'rows': 219531, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-11 23:45:00+00:00'}
{'site': 37, 'rows': 298251, 'leads': [0, 3, 15, 95], 'start': '2015-09-11 00:00:00+00:00', 'end': '2017-10-26 23:45:00+00:00'}
{'site': 38, 'rows': 263691, 'leads': [0, 3, 15, 95], 'start': '2015-12-30 00:00:00+00:00', 'end': '2017-11-15 23:45:00+00:00'}
{'site': 39, 'rows': 183051, 'leads': [0, 3, 15, 95], 'start': '2016-07-10 00:00:00+00:00', 'end': '2017-10-29 23:45:00+00:00'}
{'site': 40, 'rows': 263691, 'leads': [0, 3, 15, 95], 'start': '2015-12-30 00:00:00+00:00', 'end': '2017-11-15 23:45:00+00:00'}
{'site': 41, 'rows': 240651, 'leads': [0, 3, 15, 95], 'start': '2016-02-05 00:00:00+00:00', 'end': '2017-10-23 23:45:00+00:00'}
{'site': 42, 'rows': 229131, 'leads': [0, 3, 15, 95], 'start': '2016-02-27 00:00:00+00:00', 'end': '2017-10-15 23:45:00+00:00'}
{'site': 43, 'rows': 229131, 'leads': [0, 3, 15, 95], 'start': '2016-03-03 00:00:00+00:00', 'end': '2017-10-20 23:45:00+00:00'}
{'site': 44, 'rows': 229131, 'leads': [0, 3, 15, 95], 'start': '2016-03-06 00:00:00+00:00', 'end': '2017-10-23 23:45:00+00:00'}
{'site': 45, 'rows': 183051, 'leads': [0, 3, 15, 95], 'start': '2015-11-26 00:00:00+00:00', 'end': '2017-03-16 23:45:00+00:00'}
{'site': 46, 'rows': 311691, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-09 23:45:00+00:00'}
{'site': 47, 'rows': 161547, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2016-09-13 23:45:00+00:00'}
{'site': 48, 'rows': 162315, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2016-09-15 23:45:00+00:00'}
{'site': 49, 'rows': 229131, 'leads': [0, 3, 15, 95], 'start': '2016-03-10 00:00:00+00:00', 'end': '2017-10-27 23:45:00+00:00'}
{'site': 50, 'rows': 217611, 'leads': [0, 3, 15, 95], 'start': '2016-03-28 00:00:00+00:00', 'end': '2017-10-15 23:45:00+00:00'}
{'site': 51, 'rows': 316299, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-21 23:45:00+00:00'}
{'site': 52, 'rows': 217611, 'leads': [0, 3, 15, 95], 'start': '2016-04-21 00:00:00+00:00', 'end': '2017-11-08 23:45:00+00:00'}
{'site': 53, 'rows': 217611, 'leads': [0, 3, 15, 95], 'start': '2016-04-30 00:00:00+00:00', 'end': '2017-11-17 23:45:00+00:00'}
{'site': 54, 'rows': 206091, 'leads': [0, 3, 15, 95], 'start': '2016-05-06 00:00:00+00:00', 'end': '2017-10-24 23:45:00+00:00'}
{'site': 55, 'rows': 206091, 'leads': [0, 3, 15, 95], 'start': '2016-05-08 00:00:00+00:00', 'end': '2017-10-26 23:45:00+00:00'}
{'site': 56, 'rows': 224523, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-24 23:45:00+00:00'}
{'site': 57, 'rows': 217995, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-07 23:45:00+00:00'}
{'site': 58, 'rows': 217611, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-06 23:45:00+00:00'}
{'site': 59, 'rows': 217611, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-06 23:45:00+00:00'}
{'site': 60, 'rows': 183051, 'leads': [0, 3, 15, 95], 'start': '2016-07-14 00:00:00+00:00', 'end': '2017-11-02 23:45:00+00:00'}
{'site': 61, 'rows': 183051, 'leads': [0, 3, 15, 95], 'start': '2016-07-16 00:00:00+00:00', 'end': '2017-11-04 23:45:00+00:00'}
{'site': 62, 'rows': 296715, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-08-31 23:45:00+00:00'}
{'site': 63, 'rows': 297867, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-09-03 23:45:00+00:00'}
{'site': 64, 'rows': 286731, 'leads': [0, 3, 15, 95], 'start': '2015-10-15 00:00:00+00:00', 'end': '2017-10-30 23:45:00+00:00'}
{'site': 65, 'rows': 313227, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-13 23:45:00+00:00'}
{'site': 66, 'rows': 315915, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-20 23:45:00+00:00'}
{'site': 67, 'rows': 286731, 'leads': [0, 3, 15, 95], 'start': '2015-10-15 00:00:00+00:00', 'end': '2017-10-30 23:45:00+00:00'}
{'site': 68, 'rows': 275211, 'leads': [0, 3, 15, 95], 'start': '2015-11-01 00:00:00+00:00', 'end': '2017-10-17 23:45:00+00:00'}
{'site': 69, 'rows': 307851, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-09-29 23:45:00+00:00'}
{'site': 70, 'rows': 308423, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-01 11:30:00+00:00'}
